cls_trainid,instances,images_with_cls
0,40217,10489
4,15,15
5,9,9
6,153,153
7,45,45
8,6,6
10,3,3
11,20,20
13,5,5
27,3,3
28,3,3
31,6,6
34,3,3
35,15,15
39,21,21
41,23,23
42,18,18
43,3,3
44,8,8
46,15,15
47,12,12
48,17,17
49,3,3
50,6,6
51,6,6
54,16,16
55,20,20
59,12,12
61,22,22
62,3,3
63,16,16
64,9,9
65,3,3
71,3,3
74,12,12
75,6,6
76,12,12
80,12,12
81,3,3
82,3,3
83,3,3
85,9,9
86,6,6
87,3,3
88,18,18
91,9,9
94,12,12
95,3,3
96,14,14
97,3,3
99,3,3
101,16,16
102,3,3
103,37,37
105,19,19
107,18,18
113,16,16
